CPF_Number,Operator_ID,Operator_Name,Operator_Searchable_Name,Region,Pipeline_Type,How_Discovered?,Case_Type,Notice_Actions,Cited_Regulations,Violation_Category,Proposed_Penalties,Assessed_Penalties,Collected_Penalties,Case_Status,Opened_Date,Latest_Order_Type,Latest_Order_Date,Closed_Date,Notice_Sent_Date,Operator_Response_Date,Operator_Request_Hearing_Date,Hearing_Date,Final_Order_Date,Petition_for_Reconsideration_Date,Decision_on_Petition_Date,Consent_Order_Date,Corrective_Action_Order_Date,Order_Direct_Amendment_Date,Safety_Order_Date,Penalty_Collected_Date,Region_Withdrawn_Date,Opened_Year,Closed_Year,Order_Issued_Ind,Final_Order_Ind,Petition_for_Reconsideration_Ind,Decision_on_Petition_Ind,Consent_Order_Ind,Corrective_Action_Order_Ind,Order_Direct_Amendment_Ind,Safety_Order_Ind,Penalty_Collected_Ind,Case_Closure_Ind,Proposed_Civil_Penalty_Ind,Proposed_Compliance_Order_Ind,Penalty_Reduction_Ind,Basis_for_penalty_reduction,Report_Type,Report_Number,WMS_Activity_Seq,Data_Source,Data_as_of
320045030,18718,SUNOCO PIPELINE L.P.,SUNOCO PIPELINE L.P.,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, CP, LOC, NOA, WI","195,  195.402(c)(3),  195.404,  195.410,  195.420(b),  195.440","OME Procedural Manual,  Operation and/or Maintenance,  Public Awareness,  Transportation of HL",6200,6200,6200,CLOSED,9/22/04,Final Order,10/14/05,10/14/05,9/22/04,,,,10/14/05,,,,,,,10/27/04,,2004,2005,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,03-103457S,WMS (SMART migrated),09/03/2025 9:00 AM
120043002W,3411,DISTRIGAS OF MASSACHUSETTS LLC,DISTRIGAS OF MASSACHUSETTS LLC,Eastern,INTERSTATE LNG ONSHORE,First Operating,Warning Letter,WI,"193.2619(d),  193.2619(e)",Operation and/or Maintenance,,,,CLOSED,9/21/04,,,9/21/04,9/21/04,,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,04-113053S,WMS (SMART migrated),09/03/2025 9:00 AM
520040008,30625,BENTLEY & LAING,BENTLEY & LAING,Western,GAS INTRASTATE ONSHORE,First Operating,Notice of Probable Violation,"CO, WI","191.23,  192.491(c),  192.503,  192.605(b)(9),  192.613(b),  192.616,  192.617,  192.629,  192.703(c),  192.727","Corrosion Control,  OME Procedural Manual,  Operation and/or Maintenance,  Public Awareness,  Reporting,  Test Requirements",,,,CLOSED,9/20/04,Final Order,2/16/06,2/16/06,9/20/04,12/15/04,,,2/16/06,,,,,,,,,2004,2006,Yes,Yes,,,,,,,,Yes,,Yes,,,,,04-108946S,WMS (SMART migrated),09/03/2025 9:00 AM
320045029M,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","ENBRIDGE ENERGY, LIMITED PARTNERSHIP",Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,195.505,Operator Qualification,,,,CLOSED,9/20/04,,,8/25/05,9/20/04,7/27/05,,,,,,,,,,,,2004,2005,,,,,,,,,,Yes,,,,,,,04-113014S,WMS (SMART migrated),09/03/2025 9:00 AM
420045027,2371,"WESTERN REFINING SOUTHWEST, INC","WESTERN REFINING SOUTHWEST, INC",Southwest,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,CP,"195.428(a),  195.573(e)","Corrosion Control,  Operation and/or Maintenance",3000,3000,3000,CLOSED,9/17/04,Final Order,1/5/05,1/5/05,9/17/04,10/13/04,,,1/5/05,,,,,,,11/13/04,,2004,2005,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,04-111287S,WMS (SMART migrated),09/03/2025 9:00 AM
520045027M,30756,WYOMING REFINING CO,WYOMING REFINING CO,Western,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,"195.452(f)(1),  195.452(f)(8)",Integrity Management,,,,CLOSED,9/13/04,,,4/13/05,9/13/04,2/28/05,,,,,,,,,,,,2004,2005,,,,,,,,,,Yes,,,,,,,04-111607S,WMS (SMART migrated),09/03/2025 9:00 AM
420045026M,2371,"WESTERN REFINING SOUTHWEST, INC","WESTERN REFINING SOUTHWEST, INC",Southwest,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,"195.226(b),  195.404(c)(3),  195.422(b),  195.428(d)","Construction,  Operation and/or Maintenance",,,,CLOSED,9/13/04,,,3/4/05,9/13/04,10/7/04,,,,,,,,,,,,2004,2005,,,,,,,,,,Yes,,,,,,,04-111287S,WMS (SMART migrated),09/03/2025 9:00 AM
320045028,2387,CITGO PIPELINE CO,CITGO PIPELINE CO,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, LOC, NOA","195,  195.452(b)(2),  195.452(c),  195.452(c)(2),  195.452(e)(1),  195.452(f),  195.452(f)(3),  195.452(f)(4)","Integrity Management,  Transportation of HL",,,,CLOSED,9/9/04,Final Order,2/6/07,2/6/07,9/9/04,10/11/04,,,2/6/07,,,,,,,,,2004,2007,Yes,Yes,,,,,,,,Yes,,Yes,,,,,03-106416S,WMS (SMART migrated),09/03/2025 9:00 AM
120040006,17360,"RICHMOND, CITY OF","RICHMOND, CITY OF",Eastern,GAS INTRASTATE ONSHORE,Failure Investigation,Notice of Probable Violation,"CO/CP, CP","191.5(a),  192.751(a),  192.805(b),  192.805(c)","Operation and/or Maintenance,  Operator Qualification,  Reporting",80000,30000,30000,CLOSED,9/2/04,Decision for Reconsideration,4/2/08,11/5/09,9/2/04,3/31/05,10/7/04,4/5/05,1/12/06,2/6/06,4/2/08,,,,,4/22/08,,2004,2009,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Additional evidence; Not enough evidence,Incident Report,Gas Distribution - 20040122,04-111135S,WMS (SMART migrated),09/03/2025 9:00 AM
120040005M,17360,"RICHMOND, CITY OF","RICHMOND, CITY OF",Eastern,GAS INTRASTATE ONSHORE,Failure Investigation,Notice of Amendment,NOA,192.605(b)(9),OME Procedural Manual,,,,CLOSED,9/2/04,,,6/19/06,9/2/04,,10/7/04,4/5/05,,,,,,,,,,2004,2006,,,,,,,,,,Yes,,,,,Incident Report,Gas Distribution - 20040153,04-111135S,WMS (SMART migrated),09/03/2025 9:00 AM
520045026,31757,ANADARKO E & P COMPANY LP,ANADARKO E & P COMPANY LP,Western,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,"NOA, WI","195.54(b),  195.579(b)(3)","Corrosion Control,  Reporting",,,,CLOSED,9/1/04,,,10/8/04,9/1/04,9/24/04,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,04-108907S,WMS (SMART migrated),09/03/2025 9:00 AM
520040007,22655,"WBI ENERGY TRANSMISSION, INC.","WBI ENERGY TRANSMISSION, INC.",Western,GAS INTRASTATE ONSHORE,First Operating,Notice of Probable Violation,"CO, CP, LOC, NOA, WI","192,  192.161(a),  192.481,  192.491(c),  192.605(b),  192.615(a)(8),  192.615(b)(3),  192.731(a),  192.739(d)","Corrosion Control,  Design,  OME Procedural Manual,  Operation and/or Maintenance,  Transportation of Gas",8000,8000,8000,CLOSED,8/31/04,Final Order,4/6/05,10/12/06,8/31/04,9/27/04,,,4/6/05,,,,,,,4/20/05,,2004,2006,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,03-102363S,WMS (SMART migrated),09/03/2025 9:00 AM
520045025,2767,"HARVEST ALASKA, LLC","HARVEST ALASKA, LLC",Western,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO/CP, CP, NOA, WI","195.452(c)(1),  195.452(e),  195.452(e)(1),  195.452(f)(1),  195.452(f)(4),  195.452(f)(8),  195.452(i)(1)",Integrity Management,19000,0,,CLOSED,8/31/04,Final Order,4/17/09,3/2/10,8/31/04,10/28/04,2/28/05,5/5/05,4/17/09,,,,,,,,,2004,2010,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Other,,,03-108357S,WMS (SMART migrated),09/03/2025 9:00 AM
320045027,19237,"TE PRODUCTS PIPELINE COMPANY, LLC","TE PRODUCTS PIPELINE COMPANY, LLC",Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CP, LOC, NOA, WI","195,  195.402(a),  195.420(b),  195.428","OME Procedural Manual,  Operation and/or Maintenance,  Transportation of HL",3600,3600,3600,CLOSED,8/27/04,Final Order,1/3/06,5/21/07,8/27/04,12/21/04,,,1/3/06,,,,,,,1/20/06,,2004,2007,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,04-109843S,WMS (SMART migrated),09/03/2025 9:00 AM
320045024,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC","COUNTRYMARK REFINING AND LOGISTICS, LLC",Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO/CP, CP","195.505(b),  195.505(e),  195.509(a)",Operator Qualification,50000,16000,16000,CLOSED,8/25/04,Final Order,11/22/05,10/18/06,8/25/04,9/7/04,,,11/22/05,,,,,,,12/6/05,,2004,2006,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Additional evidence,,,04-111221S,WMS (SMART migrated),09/03/2025 9:00 AM
320045023M,10012,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,"195.452(c),  195.452(c)(1),  195.452(f),  195.452(f)(8),  195.452(g)(3),  195.452(g)(4)",Integrity Management,,,,CLOSED,8/25/04,,,2/28/07,8/25/04,3/15/05,,,,,,,,,,,,2004,2007,,,,,,,,,,Yes,,,,,,,03-003761S,WMS (SMART migrated),09/03/2025 9:00 AM
320045026M,22830,WOLVERINE PIPELINE CO,WOLVERINE PIPELINE CO,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,"195.452(c)(2),  195.452(f)(3),  195.452(g),  195.452(i)",Integrity Management,,,,CLOSED,8/25/04,,,5/21/07,8/25/04,10/5/05,,,,,,,,,,,,2004,2007,,,,,,,,,,Yes,,,,,,,04-111659S,WMS (SMART migrated),09/03/2025 9:00 AM
320045025M,26049,"COUNTRYMARK REFINING AND LOGISTICS, LLC","COUNTRYMARK REFINING AND LOGISTICS, LLC",Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,195.505(b),Operator Qualification,,,,CLOSED,8/25/04,,,12/6/04,8/25/04,9/7/04,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,04-111221S,WMS (SMART migrated),09/03/2025 9:00 AM
320041009,2616,"COLUMBIA GAS TRANSMISSION, LLC","COLUMBIA GAS TRANSMISSION, LLC",Central,GAS INTERSTATE ONSHORE,First Operating,Warning Letter,"LOC, WI","192,  192.617","Operation and/or Maintenance,  Transportation of Gas",,,,CLOSED,8/12/04,,,8/12/04,8/12/04,,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,03-103397S,WMS (SMART migrated),09/03/2025 9:00 AM
320045021M,31189,BP PIPELINE (NORTH AMERICA) INC.,BP PIPELINE (NORTH AMERICA) INC.,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,"195.402(c)(2),  195.402(c)(3)",OME Procedural Manual,,,,CLOSED,8/12/04,,,5/24/06,8/12/04,6/10/05,,,,,,,,,,,,2004,2006,,,,,,,,,,Yes,,,,,,,04-003760S,WMS (SMART migrated),09/03/2025 9:00 AM
320045022,12127,MARATHON ASHLAND PIPE LINE LLC,MARATHON ASHLAND PIPE LINE LLC,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,"LOC, NOA, WI","195,  195.402(c)(3),  195.402(c)(4)","OME Procedural Manual,  Transportation of HL",,,,CLOSED,8/12/04,,,9/28/04,8/12/04,9/10/04,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,04-109810S,WMS (SMART migrated),09/03/2025 9:00 AM
420045024,31663,NAVAJO NATION OIL AND GAS COMPANY,NAVAJO NATION OIL AND GAS COMPANY,Southwest,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,CO,"195.402(a),  195.402(c)(14),  195.402(c)(3),  195.420(c),  195.426,  195.428(a),  195.430(c)","OME Procedural Manual,  Operation and/or Maintenance",,,,CLOSED,8/12/04,Final Order,12/15/05,12/15/05,8/12/04,9/9/04,,,12/15/05,,,,,,,,,2004,2005,Yes,Yes,,,,,,,,Yes,,Yes,,,,,03-102643S,WMS (SMART migrated),09/03/2025 9:00 AM
320045020W,12127,MARATHON ASHLAND PIPE LINE LLC,MARATHON ASHLAND PIPE LINE LLC,Central,INTERSTATE LIQUID ONSHORE,First Operating,Warning Letter,WI,195.404(a)(2),Operation and/or Maintenance,,,,CLOSED,8/12/04,,,8/12/04,8/12/04,,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,03-103427S,WMS (SMART migrated),09/03/2025 9:00 AM
520045023,2170,CENEX PIPELINE LLC,CENEX PIPELINE LLC,Western,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, CO/CP, CP, LOC, NOA, WI","195,  195.452(b)(3),  195.452(e)(1)(viii),  195.452(f)(1),  195.452(f)(4),  195.452(f)(5),  195.452(f)(7),  195.452(f)(8),  195.452(i)(1),  195.452(l)(1)","Integrity Management,  Transportation of HL",43000,43000,43000,CLOSED,7/30/04,Final Order,3/3/06,2/27/07,7/30/04,,11/1/04,2/25/05,3/3/06,,,,,,,3/31/06,,2004,2007,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,03-105608S,WMS (SMART migrated),09/03/2025 9:00 AM
320045019W,10319,KOCH GATHERING SYSTEMS INC,KOCH GATHERING SYSTEMS INC,Central,INTERSTATE LIQUID ONSHORE,First Operating,Warning Letter,WI,195.428,Operation and/or Maintenance,,,,CLOSED,7/26/04,,,7/26/04,7/26/04,,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,04-003758S,WMS (SMART migrated),09/03/2025 9:00 AM
220046014,11551,"DELEK LOGISTICS OPERATING, LLC.","DELEK LOGISTICS OPERATING, LLC.",Southern,INTRASTATE LIQUID ONSHORE,First Operating,Notice of Amendment,"LOC, NOA","195,  195.452(f)(1),  195.452(f)(2),  195.452(f)(3),  195.452(f)(4),  195.452(f)(5),  195.452(f)(6),  195.452(f)(7),  195.452(f)(8),  195.452(l)(2)","Integrity Management,  Transportation of HL",,,,CLOSED,7/23/04,,,2/16/05,7/23/04,2/14/05,,,,,,,,,,,,2004,2005,,,,,,,,,,Yes,,,,,,,04-111602S,WMS (SMART migrated),09/03/2025 9:00 AM
320045018M,12127,MARATHON ASHLAND PIPE LINE LLC,MARATHON ASHLAND PIPE LINE LLC,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,"LOC, NOA","195,  195.505,  195.505(a)","Operator Qualification,  Transportation of HL",,,,CLOSED,7/22/04,,,8/25/04,7/22/04,8/20/04,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,03-106399S,WMS (SMART migrated),09/03/2025 9:00 AM
220045015,7660,HUNT CRUDE OIL SUPPLY CO,HUNT CRUDE OIL SUPPLY CO,Southern,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, CP","195.503(b),  195.505(a),  195.505(b),  195.505(c),  195.509(c)",Operator Qualification,5000,5000,5000,CLOSED,7/22/04,Final Order,3/9/09,3/9/09,7/22/04,8/25/04,,,3/9/09,,,,,,,8/24/04,,2004,2009,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,04-112611S,WMS (SMART migrated),09/03/2025 9:00 AM
220046001W,15915,"PIPELINES OF PUERTO RICO INCD, THE","PIPELINES OF PUERTO RICO INCD, THE",Southern,INTRASTATE LIQUID ONSHORE,First Operating,Warning Letter,WI,"195.402,  195.402(c)(12),  195.404(a)(4),  195.428(a),  195.579(c)","Corrosion Control,  OME Procedural Manual,  Operation and/or Maintenance",,,,CLOSED,7/16/04,,,7/16/04,7/16/04,,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,03-003753S,WMS (SMART migrated),09/03/2025 9:00 AM
220046002M,15915,"PIPELINES OF PUERTO RICO INCD, THE","PIPELINES OF PUERTO RICO INCD, THE",Southern,INTRASTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,"195.302(a),  195.304,  195.305(b)(2),  195.306,  195.308,  195.310(b),  195.406(a),  195.442(d),  195.50(b),  195.559(f),  195.567(c),  195.573(a)(2),  195.575(e),  195.581(c),  195.583(c),  195.587,  195.589(c)","Corrosion Control,  Damage Prevention,  Operation and/or Maintenance,  Pressure Testing,  Reporting",,,,CLOSED,7/16/04,,,9/3/09,7/16/04,4/20/09,,,,,,,,,,,,2004,2009,,,,,,,,,,Yes,,,,,,,03-003757S,WMS (SMART migrated),09/03/2025 9:00 AM
320045017,12913,SUPERIOR REFINING COMPANY LLC,SUPERIOR REFINING COMPANY LLC,Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, CP, NOA, WI","195.402(c)(3),  195.403(b)(1),  195.404(a),  195.404(c)(3),  195.416(a),  195.416(j),  195.418(a)","OME Procedural Manual,  Operation and/or Maintenance",9000,9000,9000,CLOSED,7/16/04,Final Order,10/22/07,10/22/07,7/16/04,8/12/04,,,10/22/07,,,,,,,8/12/05,,2004,2007,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,01-093257S,WMS (SMART migrated),09/03/2025 9:00 AM
120045005M,4472,CYPRESS INTERSTATE PIPELINE LLC,CYPRESS INTERSTATE PIPELINE LLC,Eastern,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,"195.452(f)(1),  195.452(f)(2),  195.452(f)(3),  195.452(f)(4),  195.452(f)(5),  195.452(f)(6),  195.452(f)(7),  195.452(f)(8)",Integrity Management,,,,CLOSED,7/15/04,,,11/8/06,7/15/04,,8/16/04,,,,,,,,,,,2004,2006,,,,,,,,,,Yes,,,,,,,03-102180S,WMS (SMART migrated),09/03/2025 9:00 AM
120045004,4472,CYPRESS INTERSTATE PIPELINE LLC,CYPRESS INTERSTATE PIPELINE LLC,Eastern,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, CO/CP, CP, WI","195.452(b)(3),  195.452(c)(2),  195.452(d)(3)(ii),  195.452(e)(1)(i),  195.452(e)(1)(iii),  195.452(e)(1)(iv),  195.452(e)(1)(ix),  195.452(e)(1)(vii),  195.452(f)(3),  195.452(f)(4),  195.452(f)(8),  195.452(g),  195.452(h)(2),  195.452(i)(2),  195.452(j)(2)",Integrity Management,325000,325000,325000,CLOSED,7/15/04,Final Order,6/26/06,12/30/08,7/15/04,8/16/04,2/23/05,3/8/05,6/26/06,,,,,,,9/13/07,,2004,2008,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,03-102180S,WMS (SMART migrated),09/03/2025 9:00 AM
320041008,3590,CITY OF DULUTH PUBLIC WORKS & UTILITIES,CITY OF DULUTH PUBLIC WORKS & UTILITIES,Central,GAS INTERSTATE ONSHORE,First Operating,Warning Letter,WI,192.505,Test Requirements,,,,CLOSED,7/12/04,,,7/12/04,7/12/04,,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,04-022183S,WMS (SMART migrated),09/03/2025 9:00 AM
520045021,31443,"ALON USA, LP","ALON USA, LP",Western,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, CO/CP","195.452(b)(5),  195.452(c)(1)(iii),  195.452(f)(1),  195.452(g)(4),  195.452(i)(3),  195.452(j)(1),  195.452(k),  195.452(l)(1)(ii)",Integrity Management,215000,200000,200412,CLOSED,7/12/04,Decision for Reconsideration,10/22/09,12/10/09,7/12/04,8/11/04,,,8/6/09,9/2/09,10/22/09,,,,,12/10/09,,2004,2009,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,,,,03-105948S,WMS (SMART migrated),09/03/2025 9:00 AM
220046013M,99002,TAMPA AIRPORT PIPELINE CORPORATION,TAMPA AIRPORT PIPELINE CORPORATION,Southern,INTRASTATE LIQUID ONSHORE,First Operating,Notice of Amendment,NOA,"195.402(d)(2),  195.406(b),  195.555,  195.557(b)(2),  195.559","Corrosion Control,  OME Procedural Manual,  Operation and/or Maintenance",,,,CLOSED,7/9/04,,,4/16/09,7/9/04,7/29/04,,,,,,,,,,,,2004,2009,,,,,,,,,,Yes,,,,,,,03-118664S,WMS (SMART migrated),09/03/2025 9:00 AM
520045022,31057,"HECO - HAWAIIAN ELECTRIC COMPANY, INC.","HECO - HAWAIIAN ELECTRIC COMPANY, INC.",Western,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, LOC, NOA, WI","195,  195.452(b)(3),  195.452(e)(1),  195.452(f)(1),  195.452(f)(4),  195.452(f)(7),  195.452(i)(1),  195.452(j)(1)","Integrity Management,  Transportation of HL",,,,CLOSED,7/9/04,Final Order,9/20/06,9/20/06,7/9/04,8/13/04,,,9/20/06,,,,,,,,,2004,2006,Yes,Yes,,,,,,,,Yes,,Yes,,,,,04-107896S,WMS (SMART migrated),09/03/2025 9:00 AM
320045016,22175,"TARGA MIDSTREAM SERVICES, L.P.","TARGA MIDSTREAM SERVICES, L.P.",Central,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,"NOA, WI","195.452(b)(2),  195.452(d)(3)(i),  195.452(e)(1),  195.452(g),  195.452(i)(1),  195.452(j)(4),  195.452(k),  195.452(l)(1)",Integrity Management,,,,CLOSED,6/30/04,,,5/10/05,6/30/04,9/28/04,,,,,,,,,,,,2004,2005,,,,,,,,,,Yes,,,,,,,04-110035S,WMS (SMART migrated),09/03/2025 9:00 AM
120041005,2714,"EASTERN GAS TRANSMISSION AND STORAGE, INC.","EASTERN GAS TRANSMISSION AND STORAGE, INC.",Eastern,GAS INTERSTATE ONSHORE,First Operating,Notice of Probable Violation,"CP, WI","192.605,  192.615(a)(2),  192.707(c),  192.736(c),  192.745","OME Procedural Manual,  Operation and/or Maintenance",20000,20000,20000,CLOSED,6/15/04,Final Order,3/4/05,8/18/05,6/15/04,7/14/04,,,3/4/05,,,,,,,7/29/04,,2004,2005,Yes,Yes,,,,,,,Yes,Yes,Yes,,,,,,03-106660S,WMS (SMART migrated),09/03/2025 9:00 AM
220046004W,5320,"DUKE ENERGY FLORIDA, LLC D/B/A DUKE ENERGY","DUKE ENERGY FLORIDA, LLC D/B/A DUKE ENERGY",Southern,INTRASTATE LIQUID ONSHORE,First Operating,Warning Letter,WI,"195.430(c),  195.569,  195.579(c)","Corrosion Control,  Operation and/or Maintenance",,,,CLOSED,6/2/04,,,6/2/04,6/2/04,,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,03-102848S,WMS (SMART migrated),09/03/2025 9:00 AM
220045013,31130,DCP MIDSTREAM,"DCP MIDSTREAM, LP",Southern,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,"LOC, NOA","195,  195.452(f),  195.452(f)(3),  195.452(f)(5),  195.452(f)(6),  195.452(f)(8)","Integrity Management,  Transportation of HL",,,,CLOSED,6/2/04,,,8/23/05,6/2/04,6/30/05,,,,,,,,,,,,2004,2005,,,,,,,,,,Yes,,,,,,,04-108615S,WMS (SMART migrated),09/03/2025 9:00 AM
220046005,5320,"DUKE ENERGY FLORIDA, LLC D/B/A DUKE ENERGY","DUKE ENERGY FLORIDA, LLC D/B/A DUKE ENERGY",Southern,INTRASTATE LIQUID ONSHORE,First Operating,Notice of Amendment,"LOC, NOA","195,  195.302(a),  195.304,  195.305,  195.306(a),  195.308,  195.310(b),  195.55,  195.557(b),  195.581(c),  195.583(c),  195.585(b),  195.589(c)","Corrosion Control,  Pressure Testing,  Reporting,  Transportation of HL",,,,CLOSED,6/2/04,,,9/18/08,6/2/04,7/2/04,,,,,,,,,,,,2004,2008,,,,,,,,,,Yes,,,,,,,03-102848S,WMS (SMART migrated),09/03/2025 9:00 AM
420045023,19237,"TE PRODUCTS PIPELINE COMPANY, LLC","TE PRODUCTS PIPELINE COMPANY, LLC",Southwest,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, CP","195.402(a),  195.573(e)","Corrosion Control,  OME Procedural Manual",5000,5000,5000,CLOSED,6/1/04,Final Order,10/6/04,8/12/05,6/1/04,7/27/04,,,10/6/04,,,,,,,8/12/05,,2004,2005,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,03-102619S,WMS (SMART migrated),09/03/2025 9:00 AM
220046010,4472,CYPRESS INTERSTATE PIPELINE LLC,CYPRESS INTERSTATE PIPELINE LLC,Southern,INTRASTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,CO,195.302(c),Pressure Testing,,,,CLOSED,5/26/04,Final Order,4/7/10,4/7/10,5/26/04,6/22/04,6/22/04,11/10/04,4/7/10,,,,,,,,,2004,2010,Yes,Yes,,,,,,,,Yes,,Yes,,,,,03-003750S,WMS (SMART migrated),09/03/2025 9:00 AM
120045003M,8175,INTERSTATE STORAGE & PIPELINE C0,INTERSTATE STORAGE & PIPELINE C0,Eastern,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Amendment,"LOC, NOA","195,  195.234(b)(1)","Construction,  Transportation of HL",,,,CLOSED,5/26/04,,,11/19/04,5/26/04,6/17/04,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,04-112439S,WMS (SMART migrated),09/03/2025 9:00 AM
220041007M,14435,"OZARK GAS TRANSMISSION, L.L.C","OZARK GAS TRANSMISSION, L.L.C",Southern,GAS INTERSTATE ONSHORE,First Operating,Notice of Amendment,NOA,"192.233(c),  192.616","Public Awareness,  Welding of Steel in Pipelines ",,,,CLOSED,5/26/04,,,5/26/04,5/26/04,,,,,,,,,,,,,2004,2004,,,,,,,,,,Yes,,,,,,,03-102880S,WMS (SMART migrated),09/03/2025 9:00 AM
420045022,31551,"RIO VISTA ENERGY PARTNERS, LP","RIO VISTA ENERGY PARTNERS, LP",Southwest,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, CP",195.452(b)(2),Integrity Management,5000,5000,5000,CLOSED,5/20/04,Final Order,3/18/05,3/18/05,5/20/04,11/16/04,,,3/18/05,,,,,,,6/17/04,,2004,2005,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,,,,,04-111282S,WMS (SMART migrated),09/03/2025 9:00 AM
520045010,1248,BELLE FOURCHE PIPELINE CO,BELLE FOURCHE PIPELINE CO,Western,INTERSTATE LIQUID ONSHORE,First Operating,Notice of Probable Violation,"CO, CO/CP, CP, LOC, NOA, WI","195,  195.266(a),  195.302(a),  195.303,  195.402(a),  195.402(c)(11),  195.402(c)(13),  195.402(c)(7),  195.403(b)(1),  195.404(a)(1)(vii),  195.406,  195.408(b)(1),  195.410(c),  195.428(a),  195.432(b),  195.434,  195.436,  195.54(a),  195.559(f),  195.561(b),  195.563(e),  195.567,  195.567(c),  195.569,  195.573(e),  195.583(c),  195.589(c)","Construction,  Corrosion Control,  OME Procedural Manual,  Operation and/or Maintenance,  Pressure Testing,  Reporting,  Transportation of HL",67500,41500,41500,CLOSED,5/19/04,Decision for Reconsideration,7/15/09,12/1/10,5/19/04,5/3/05,,,12/11/06,4/15/09,7/15/09,,,,,12/29/06,,2004,2010,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Additional evidence,,,03-102323S,WMS (SMART migrated),09/03/2025 9:00 AM
